ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
6185971,F,N,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-19745,-1165,1,0,0,1,Private service staff,2.0
6035656,F,N,Y,1,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-13206,-1751,1,1,1,0,,2.0
6670750,M,Y,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13753,-1119,1,0,0,1,Drivers,3.0
5369626,F,Y,Y,3,180000.0,Working,Higher education,Married,Co-op apartment,-13009,-3943,1,0,0,0,Managers,5.0
5548615,F,N,Y,2,135000.0,Working,Higher education,Married,House / apartment,-14871,-344,1,1,1,1,Laborers,4.0
6409033,M,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-8447,-288,1,0,1,0,Drivers,3.0
6689614,F,N,N,0,292500.0,Commercial associate,Higher education,Married,House / apartment,-21768,-5025,1,1,1,0,Managers,2.0
5142452,M,Y,Y,0,315000.0,Working,Incomplete higher,Married,House / apartment,-10655,-1444,1,0,0,0,Managers,2.0
6730430,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Civil marriage,With parents,-10589,-422,1,0,0,0,Laborers,2.0
5858902,F,N,N,0,90000.0,Working,Higher education,Married,House / apartment,-9963,-1545,1,1,0,0,,2.0
5762610,M,Y,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16194,-8613,1,1,1,0,,4.0
5166772,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13547,-5229,1,1,1,0,Laborers,2.0
6691816,F,N,N,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-20957,-3500,1,0,1,0,Sales staff,2.0
6022550,F,Y,Y,0,202500.0,Working,Higher education,Separated,House / apartment,-9474,-2011,1,0,0,1,,1.0
5296299,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21160,365243,1,0,1,0,,2.0
5552439,F,N,Y,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23374,365243,1,0,0,0,,1.0
6232290,M,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8651,-1806,1,1,0,1,Security staff,2.0
6519980,F,N,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-10914,-1635,1,1,1,0,,2.0
6022126,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18715,-399,1,1,1,0,Laborers,2.0
5858253,F,N,N,0,441000.0,Commercial associate,Higher education,Married,House / apartment,-12950,-596,1,1,1,0,Private service staff,2.0
5061258,F,N,Y,0,112500.0,Working,Incomplete higher,Civil marriage,House / apartment,-9301,-1751,1,0,0,0,,2.0
5970397,M,Y,N,0,157500.0,Working,Secondary / secondary special,Single / not married,With parents,-8829,-125,1,0,0,0,Drivers,1.0
5224572,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23533,365243,1,0,0,0,,2.0
6742956,F,N,Y,0,90000.0,Working,Higher education,Married,Municipal apartment,-12351,-4428,1,0,0,0,Laborers,2.0
6757952,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14085,-1232,1,0,0,0,Drivers,2.0
5863999,F,N,N,0,292500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-19990,365243,1,0,0,0,,1.0
6779428,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-9954,-456,1,0,1,0,Sales staff,2.0
6764806,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22321,365243,1,0,1,0,,1.0
6088635,F,Y,Y,0,396000.0,Commercial associate,Higher education,Separated,House / apartment,-19381,-4072,1,0,0,1,Managers,1.0
5834436,F,N,N,1,135000.0,Working,Higher education,Separated,House / apartment,-15421,-3277,1,1,1,0,Core staff,2.0
6293414,F,N,Y,0,382500.0,Commercial associate,Higher education,Married,House / apartment,-22441,-6943,1,0,0,0,Core staff,2.0
6639645,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-17132,-6403,1,0,1,0,,2.0
6273628,M,N,Y,0,173088.0,Commercial associate,Incomplete higher,Single / not married,With parents,-8549,-409,1,1,0,0,Core staff,1.0
6499266,F,Y,Y,1,585000.0,Commercial associate,Higher education,Separated,House / apartment,-15857,-267,1,0,1,0,Managers,2.0
6824401,F,N,N,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,-17895,-4089,1,1,1,0,Medicine staff,2.0
5555503,M,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-19800,-242,1,1,0,0,Managers,2.0
5085645,M,N,Y,1,90000.0,Working,Secondary / secondary special,Separated,House / apartment,-12316,-291,1,0,0,0,Laborers,2.0
5981918,M,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12808,-656,1,0,0,0,Laborers,3.0
6711337,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17878,-3129,1,0,0,0,Laborers,2.0
5135763,M,N,Y,2,225000.0,State servant,Higher education,Married,House / apartment,-12839,-4584,1,0,0,0,,4.0
6715491,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13396,-786,1,1,0,0,Sales staff,4.0
7685818,F,N,N,0,180000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-21413,-461,1,0,0,0,Cleaning staff,1.0
5823053,F,N,Y,2,153000.0,Working,Secondary / secondary special,Married,House / apartment,-11880,-2913,1,0,1,0,,4.0
5501294,F,N,Y,0,166500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15422,-2981,1,1,1,0,High skill tech staff,1.0
5713589,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10805,-1008,1,0,0,0,High skill tech staff,2.0
5236474,M,Y,Y,0,243000.0,State servant,Higher education,Married,House / apartment,-9157,-918,1,0,0,0,Core staff,2.0
6569414,F,N,N,1,112500.0,Commercial associate,Incomplete higher,Married,With parents,-10520,-244,1,0,0,0,Accountants,3.0
6122619,F,N,Y,0,171000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19869,-1355,1,0,0,0,Laborers,2.0
6498346,F,N,Y,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-16370,-2061,1,0,0,0,Sales staff,1.0
5703627,M,Y,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20992,-768,1,0,0,0,Laborers,2.0
5787879,F,N,N,0,225000.0,State servant,Higher education,Married,Municipal apartment,-15713,-2619,1,0,1,0,Core staff,2.0
6692531,M,Y,Y,1,450000.0,State servant,Higher education,Married,Office apartment,-9036,-976,1,0,0,1,Managers,3.0
6070610,M,N,Y,0,247500.0,State servant,Secondary / secondary special,Married,With parents,-13926,-7296,1,0,0,0,Core staff,2.0
6658380,M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22114,365243,1,0,0,0,,2.0
7760852,F,N,Y,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21672,365243,1,0,0,0,,2.0
5452308,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20654,365243,1,0,0,0,,2.0
5637127,F,N,Y,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14990,-1855,1,1,1,0,Laborers,2.0
6372543,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22131,365243,1,0,0,0,,2.0
6070364,F,N,Y,1,112500.0,Working,Secondary / secondary special,Separated,House / apartment,-17918,-383,1,0,0,0,Laborers,2.0
6755172,M,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15634,-2808,1,0,0,0,Laborers,2.0
6120385,M,Y,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-15168,-226,1,1,1,0,Laborers,2.0
5435832,F,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19543,-980,1,1,0,0,Laborers,1.0
6288111,F,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,-17872,-3381,1,0,0,0,Medicine staff,2.0
6801459,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21992,365243,1,0,0,0,,1.0
5344589,M,Y,Y,1,171000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14157,-393,1,1,1,0,,2.0
5825434,M,N,N,1,270000.0,Working,Higher education,Married,House / apartment,-12651,-2802,1,0,0,0,Core staff,3.0
6792767,F,Y,N,0,202500.0,Pensioner,Higher education,Married,House / apartment,-22841,365243,1,0,1,0,,2.0
6783511,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-11635,-2100,1,1,1,0,Core staff,2.0
7713599,F,Y,Y,0,144000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22567,365243,1,0,0,0,,1.0
6815263,F,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-12437,-420,1,0,1,0,Sales staff,2.0
6138339,F,N,Y,1,126000.0,State servant,Secondary / secondary special,Married,House / apartment,-15297,-1973,1,0,1,0,Medicine staff,3.0
5537052,F,N,N,2,157500.0,State servant,Higher education,Separated,House / apartment,-16672,-173,1,0,0,0,Core staff,3.0
6063550,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-13940,-976,1,0,0,0,Laborers,3.0
6744995,F,N,N,1,162000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11433,-852,1,0,0,0,,3.0
5022950,M,N,Y,0,135000.0,Working,Incomplete higher,Single / not married,With parents,-8231,-731,1,0,0,0,Cooking staff,1.0
6582412,M,Y,Y,2,292500.0,Working,Secondary / secondary special,Married,House / apartment,-15011,-5905,1,0,0,0,Managers,4.0
6372521,F,N,Y,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-19572,-11259,1,0,0,0,High skill tech staff,2.0
6139994,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18061,-1886,1,0,0,1,Sales staff,2.0
6063834,F,N,Y,0,180000.0,Pensioner,Higher education,Married,Municipal apartment,-22403,365243,1,0,0,0,,2.0
6658699,F,N,N,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16989,365243,1,0,0,0,,2.0
7169841,F,N,Y,0,274500.0,Working,Higher education,Married,House / apartment,-11241,-1644,1,0,0,0,Sales staff,2.0
5692655,M,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-12749,-5345,1,0,1,0,Laborers,1.0
5951900,M,Y,Y,1,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15789,-239,1,0,0,0,Laborers,3.0
5038807,M,Y,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-12658,-5374,1,0,0,1,Laborers,2.0
6071368,M,Y,Y,1,81000.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-17583,-1189,1,0,0,0,Security staff,3.0
6276427,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20200,365243,1,0,0,0,,2.0
5735731,F,N,N,0,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10489,-1943,1,0,0,0,Core staff,1.0
5993793,M,Y,Y,1,153000.0,Working,Secondary / secondary special,Married,House / apartment,-14720,-1454,1,0,0,0,Drivers,3.0
5474859,F,Y,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-14239,-2280,1,0,0,0,Laborers,2.0
5154946,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-23728,365243,1,0,1,0,,1.0
6789942,F,Y,Y,0,186750.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10470,-1960,1,0,0,0,Accountants,2.0
6618320,F,Y,Y,0,292500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15850,-5175,1,0,0,0,Laborers,2.0
6747265,F,N,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-19328,-3724,1,0,1,0,Managers,2.0
6697777,M,N,Y,1,315000.0,Working,Secondary / secondary special,Married,With parents,-10592,-906,1,1,1,0,Laborers,3.0
5727609,F,N,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14419,-1133,1,0,0,1,Core staff,4.0
6076826,M,N,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11786,-2473,1,0,0,0,Low-skill Laborers,3.0
5938166,F,Y,N,1,540000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16690,-1911,1,0,1,0,Accountants,3.0
5009939,F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10710,-2351,1,0,0,0,Sales staff,4.0
6643185,M,Y,N,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21000,-5020,1,0,0,0,Drivers,2.0
5929946,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23115,365243,1,0,1,0,,1.0
5857130,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16295,-1630,1,0,1,0,Laborers,2.0
6120988,F,N,Y,1,126000.0,Working,Secondary / secondary special,Married,House / apartment,-14028,-137,1,1,0,0,Sales staff,3.0
5741393,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-21780,-8987,1,1,0,0,Laborers,2.0
5345068,M,Y,Y,0,85500.0,Working,Secondary / secondary special,Married,Municipal apartment,-15674,-452,1,1,0,0,Drivers,2.0
5099933,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,Office apartment,-15090,-6761,1,0,0,0,Managers,3.0
6277225,M,N,Y,2,162000.0,Commercial associate,Higher education,Single / not married,House / apartment,-11649,-4033,1,1,1,0,Laborers,3.0
5769525,M,Y,Y,1,81000.0,Working,Higher education,Married,House / apartment,-12302,-1672,1,1,1,0,Laborers,3.0
5502346,M,Y,N,0,247500.0,Working,Secondary / secondary special,Married,With parents,-10940,-98,1,0,0,0,Laborers,2.0
6098765,F,N,Y,0,153000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24253,365243,1,0,0,0,,1.0
5154996,F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24054,365243,1,0,0,0,,1.0
5742175,F,N,Y,0,274500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21792,365243,1,0,0,1,,2.0
6223777,F,Y,N,0,135000.0,Working,Higher education,Single / not married,Co-op apartment,-10031,-1605,1,0,0,1,Core staff,1.0
5116187,F,Y,Y,2,225000.0,Working,Secondary / secondary special,Widow,House / apartment,-10882,-4126,1,1,1,0,Managers,3.0
6296706,F,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16145,-83,1,1,0,0,,3.0
5282908,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19896,-728,1,0,0,0,Managers,2.0
6018942,F,N,N,2,90000.0,Commercial associate,Secondary / secondary special,Married,With parents,-10757,-1039,1,0,0,0,Core staff,4.0
5867432,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-18872,-1729,1,0,0,0,Cleaning staff,2.0
6702490,M,Y,Y,0,405000.0,Commercial associate,Higher education,Married,House / apartment,-17320,-251,1,0,0,0,Core staff,2.0
6186387,F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-12665,-2793,1,0,0,0,Realty agents,2.0
5876361,F,Y,Y,1,247500.0,Pensioner,Higher education,Married,House / apartment,-8544,365243,1,0,0,0,,3.0
5317638,F,Y,Y,0,450000.0,Commercial associate,Higher education,Married,House / apartment,-23270,-3955,1,0,1,0,Accountants,2.0
5952091,M,Y,Y,0,180000.0,State servant,Higher education,Married,House / apartment,-14367,-4043,1,0,0,0,Core staff,2.0
6345574,F,N,Y,2,67500.0,Working,Secondary / secondary special,Married,With parents,-10783,-1601,1,0,0,0,High skill tech staff,4.0
5584739,M,Y,Y,0,288000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21127,-4686,1,0,0,0,High skill tech staff,2.0
5452254,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-18180,365243,1,0,1,0,,1.0
6162396,F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14965,-7668,1,0,0,0,Accountants,4.0
6037428,M,N,N,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22088,365243,1,0,0,0,,2.0
6608129,M,N,Y,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,-11475,-795,1,0,0,0,Laborers,3.0
5053048,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,With parents,-8149,365243,1,0,0,0,,1.0
5792081,F,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-12192,-2044,1,1,1,0,Laborers,2.0
6492018,M,Y,Y,3,157500.0,Working,Secondary / secondary special,Married,House / apartment,-13621,-5164,1,1,1,0,,5.0
6172772,F,N,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18902,-2775,1,1,0,0,Medicine staff,2.0
6234993,F,N,N,0,225000.0,State servant,Secondary / secondary special,Widow,Municipal apartment,-19873,-10368,1,0,0,0,,1.0
6581868,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-19620,-12478,1,0,0,0,,2.0
6602152,F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-15945,-6631,1,0,1,1,Accountants,2.0
5146013,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20038,365243,1,0,0,0,,2.0
6053289,F,N,Y,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-15502,-3167,1,0,0,0,Core staff,3.0
6232307,M,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22571,365243,1,0,1,0,,2.0
6428973,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10934,-1306,1,0,0,0,Sales staff,1.0
5798759,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23142,365243,1,0,1,0,,1.0
5068537,F,Y,Y,0,337500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19804,-3246,1,0,0,0,Sales staff,1.0
5836806,M,Y,Y,2,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12505,-3343,1,0,1,0,Laborers,4.0
6047525,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-14041,-763,1,1,1,0,Waiters/barmen staff,2.0
5944239,M,N,N,1,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-10089,-1042,1,0,0,1,Drivers,3.0
6468901,M,Y,Y,1,427500.0,Commercial associate,Incomplete higher,Married,House / apartment,-10599,-1422,1,0,1,0,,3.0
5089005,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-19657,-2774,1,0,1,0,,2.0
6223829,F,N,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-19508,-9306,1,0,1,1,,2.0
6617651,F,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-17074,-4198,1,0,0,0,,2.0
6022910,F,Y,Y,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-11786,-1509,1,0,0,0,Accountants,2.0
5580065,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22745,365243,1,0,0,0,,1.0
5785138,M,Y,N,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11713,-2262,1,0,0,0,Low-skill Laborers,1.0
5832810,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-17641,-9605,1,1,1,0,Accountants,2.0
5297415,M,Y,N,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,-13577,-791,1,1,0,0,Drivers,1.0
5313521,F,N,Y,1,166500.0,Working,Higher education,Married,House / apartment,-15035,-2294,1,1,0,0,Managers,3.0
5223427,M,N,N,0,225000.0,Working,Higher education,Married,House / apartment,-17343,-1768,1,0,0,0,,2.0
5668777,M,N,Y,0,153000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18743,365243,1,0,1,0,,2.0
6500540,M,Y,Y,1,225000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-19080,-1224,1,0,0,0,Managers,3.0
6346207,F,N,Y,0,216000.0,Working,Secondary / secondary special,Widow,House / apartment,-23450,-3286,1,0,0,0,Medicine staff,1.0
5917961,F,N,Y,0,238500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16643,-6532,1,0,1,0,Sales staff,1.0
6154633,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-20495,-7157,1,0,0,0,Laborers,1.0
6670331,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18523,-297,1,1,0,0,Laborers,2.0
6461038,M,Y,Y,1,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16349,-3064,1,0,1,0,Drivers,3.0
5581296,M,Y,N,0,126000.0,Working,Secondary / secondary special,Single / not married,With parents,-10496,-884,1,0,0,0,Laborers,1.0
5579525,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-13505,-1918,1,0,0,0,Cooking staff,2.0
6047106,F,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22287,365243,1,0,0,0,,1.0
5629029,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-14352,-4389,1,0,1,0,Laborers,3.0
6743538,F,N,N,0,126000.0,Commercial associate,Secondary / secondary special,Married,With parents,-11982,-3965,1,0,0,0,Sales staff,2.0
6046549,F,N,Y,0,315000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-16465,-5326,1,0,0,0,Laborers,1.0
6430210,F,Y,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13728,-2890,1,1,0,0,,4.0
5858941,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-23236,-1910,1,1,1,0,Cooking staff,2.0
5010492,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,-13768,-4666,1,0,0,0,Secretaries,4.0
